id,data_inicio,data_fim,cliente_id,preco_id
1,22/05/2021,11/02/2019,1,1
2,20/11/2015,11/04/2016,2,2
3,15/11/2018,27/09/2020,3,3
4,14/12/2020,01/04/2022,4,4
5,09/08/2017,25/02/2017,5,5
6,29/01/2019,08/02/2016,6,6
7,31/10/2018,19/10/2021,7,7
8,18/11/2016,14/10/2021,8,8
9,15/03/2022,17/06/2016,9,9
10,21/03/2020,09/08/2015,10,10
11,07/02/2020,17/03/2017,11,11
12,23/11/2017,29/11/2017,12,12
13,26/03/2021,10/07/2020,13,13
14,04/06/2021,01/03/2018,14,14
15,29/11/2018,20/05/2017,15,15
16,01/02/2021,12/07/2020,16,16
17,18/07/2016,19/03/2022,17,17
18,12/06/2015,21/02/2017,18,18
19,11/04/2021,28/10/2016,19,19
20,30/11/2016,28/10/2017,20,20
21,09/07/2017,03/02/2020,21,21
22,14/04/2022,13/05/2021,22,22
23,09/05/2019,07/05/2018,23,23
24,29/05/2018,13/09/2019,24,24
25,11/11/2016,31/01/2021,25,25
26,17/07/2017,18/02/2021,26,26
27,25/11/2021,17/01/2022,27,27
28,04/04/2017,12/11/2021,28,28
29,27/03/2017,26/10/2016,29,29
30,31/01/2022,16/04/2021,30,30
31,14/04/2017,16/04/2017,31,31
32,07/05/2016,18/04/2017,32,32
33,22/06/2017,06/08/2017,33,33
34,28/03/2021,20/08/2021,34,34
35,01/01/2022,01/04/2020,35,35
36,20/07/2016,02/04/2016,36,36
37,27/12/2015,07/10/2020,37,37
38,07/10/2017,07/12/2021,38,38
39,18/09/2018,04/07/2015,39,39
40,14/11/2020,25/05/2015,40,40
41,20/08/2019,05/06/2019,41,41
42,23/03/2016,18/11/2016,42,42
43,03/01/2016,28/04/2015,43,43
44,26/07/2021,28/10/2021,44,44
45,31/01/2018,12/01/2020,45,45
46,09/09/2020,07/06/2015,46,46
47,22/04/2021,31/10/2021,47,47
48,24/04/2022,05/03/2020,48,48
49,05/08/2020,26/03/2022,49,49
50,10/10/2016,26/08/2018,50,50
51,25/04/2018,21/02/2020,51,51
52,19/05/2017,09/11/2020,52,52
53,27/06/2020,18/03/2017,53,53
54,15/06/2018,09/12/2018,54,54
55,21/08/2019,30/09/2015,55,55
56,30/10/2021,26/11/2020,56,56
57,22/02/2016,11/08/2018,57,57
58,30/05/2018,10/05/2021,58,58
59,18/03/2016,10/06/2017,59,59
60,03/12/2016,28/01/2017,60,60
61,09/04/2018,12/02/2021,61,61
62,26/04/2017,06/08/2020,62,62
63,02/04/2019,23/08/2021,63,63
64,10/12/2018,17/08/2021,64,64
65,04/10/2018,10/12/2018,65,65
66,18/07/2019,16/02/2022,66,66
67,10/03/2018,23/10/2015,67,67
68,13/03/2018,10/03/2019,68,68
69,24/04/2017,10/08/2015,69,69
70,17/03/2017,14/03/2016,70,70
71,15/02/2017,12/05/2015,71,71
72,22/08/2017,11/07/2019,72,72
73,21/09/2021,09/11/2020,73,73
74,02/05/2020,04/04/2022,74,74
75,03/05/2020,27/01/2022,75,75
76,29/08/2020,29/08/2018,76,76
77,18/05/2020,03/03/2016,77,77
78,22/08/2016,17/04/2020,78,78
79,08/10/2019,17/12/2020,79,79
80,25/01/2017,19/06/2021,80,80
81,07/02/2019,26/04/2021,81,81
82,09/09/2019,15/03/2021,82,82
83,31/07/2017,14/01/2016,83,83
84,09/01/2018,23/02/2022,84,84
85,14/06/2019,04/04/2018,85,85
